Tanatos|Bóg śmierci (nieśmierci). Atrybuty: miecz, motyl, odwrócona pochodnia. Rodzice: Nyks (Noc) i Ereb (Ciemność).
Hypnos|Bóg snu. Atrybuty: róg z opium, gałązka topoli, mak. Rodzice: Nyks (Noc) i Ereb (Ciemność).
Tytan|Rasa potężnych bóstw starszych niż bogowie olimpijscy (np. Kronos, Reja).
Hydra|Potwór (ohydny wąż o wielu głowach). Rola: Strzegła wejścia do podziemi. Dziecko Tyfona i Echidny.
Syreny|Istoty (pół-kobiety, pół-ptaki lub ryby) wabiące żeglarzy hipnotyzującym śpiewem.
Driada|Nimfa związana z drzewem (nimfa drzewna). Rola: Opiekunka lasów.
Eris|Bogini niezgody, waśni i niezgody. Atrybuty: złote jabłko niezgody. Rodzice: Zeus i Hera (lub Nyks).
Chronos|Uosobienie czasu (nie mylić z tytanem Kronosem). Atrybuty: Wąż, starzec. Pierwotne bóstwo.
Cerber|Potwór (wielogłowy pies strzegący wejścia do Hadesu). Dziecko Tyfona i Echidny.
Nyks|Bogini nocy (pierwotne bóstwo). Rodzice: Powstała z Chaosu.
Helios|Tytan (później bóg) Słońca. Atrybuty: Korona słoneczna, kwadryga (rydwan). Rodzice: Tytani Hyperion i Teja.
Cyklop|Istota (jednooki olbrzym). Synowie Uranosa i Gai (pierwotni) lub Posejdona (późniejsi).
Hades|Bóg świata umarłych, podziemi i bogactw ziemi. Atrybuty: Dwuząb, klucz, hełm niewidka. Rodzice: Kronos i Reja.
Zeus|Król bogów, bóg nieba, piorunów i pogody. Atrybuty: Piorun, orzeł, dąb. Rodzice: Kronos i Reja.
Demeter|Bogini zbóż, urodzaju, rolnictwa. Atrybuty: Kłosy, róg obfitości, pochodnia. Rodzice: Kronos i Reja.
Atena|Bogini mądrości, sztuki, sprawiedliwej wojny. Atrybuty: Sowa, włócznia, tarcza (egida), oliwka. Rodzice: Zeus (narodziła się z jego głowy).
Hera|Królowa bogów, bogini małżeństwa, rodziny, macierzyństwa. Atrybuty: Paw, granat, berło. Rodzice: Kronos i Reja.
Hefajstos|Bóg ognia, kowali, rzemiosła, wulkanów. Atrybuty: Młot, kowadło, kleszcze. Rodzice: Hera (samodzielnie) lub Zeus i Hera.
Centaur|Istota (pół-człowiek, pół-koń). Znany z dzikości.
Minotaur|Potwór (pół-człowiek, pół-byk). Uwięziony w labiryncie. Rodzice: Pazyfae i byk z Krety.
Posejdon|Bóg mórz, trzęsień ziemi, koni. Atrybuty: Trójząb, delfin, koń. Rodzice: Kronos i Reja.
Kronos|Tytan - ojciec bogów olimpijskich, bóg czasu żniw. Atrybuty: Sierp, kosa. Rodzice: Uranos i Gaja.
Gaja|Bogini Ziemi (pierwotne bóstwo). Rodzice: Powstała z Chaosu.
Uranos|Bóg nieba (pierwotne bóstwo). Rodzice: Powstał z Gai lub Chaosu.
Geras|Bóg starości. Atrybuty: Postać starego, skurczonego mężczyzny. Syn Nyks (Nocy).
Artemida|Bogini łowiectwa, dzikiej przyrody, księżyca. Atrybuty: Łuk, strzały, łania, półksiężyc. Rodzice: Zeus i Leta.
Muza|Grupa bóstw - boginie sztuki, nauki, literatury (9 sióstr). Rodzice: Zeus i Mnemosyne.
Hermes|Bóg posłańców, handlu, złodziei, przewodnik dusz. Atrybuty: Kaduceusz, sandały ze skrzydłami. Rodzice: Zeus i Maja.
Dionizos|Bóg wina, płodności, szaleństwa religijnego, teatru. Atrybuty: Kielich, winorośl, tyrs. Rodzice: Zeus i Semele.
Apollo|Bóg słońca, muzyki, poezji, proroctw, lecznictwa. Atrybuty: Lira, łuk, wawrzyn. Rodzice: Zeus i Leta.
Ares|Bóg wojny (krwawej, brutalnej). Atrybuty: Hełm, tarcza, miecz, włócznia. Rodzice: Zeus i Hera.
Medusa|Potwór (jedna z Gorgon). Cechy: Zamieniająca w kamień wzrokiem. Rodzice: Forkys i Keto.
Tyche|Bogini szczęścia, losu, przypadku. Atrybuty: Róg obfitości, ster, koło fortuny. Rodzice: Okeanos i Tetyda.
Pandora|Pierwsza kobieta stworzona przez bogów. Rola: Otworzyła puszkę, uwalniając nieszczęścia.
Afrodyta|Bogini miłości, piękna, pożądania. Atrybuty: Gołąb, róża, muszla. Rodzice: Uranos (z morskiej piany) lub Zeus i Dione.
Hebe|Bogini wiecznej młodości, podczaszyna bogów. Atrybuty: Dzban, puchar. Rodzice: Zeus i Hera.