Tanatos|Bóg śmierci (nieśmierci). Atrybuty: odwrócona pochodnia, miecz/sztylet, skrzydła.
Hypnos|Bóg snu. Atrybuty: róg z opium, gałązka topoli, mak.
Tytan|Rasa potężnych bóstw starszych niż bogowie olimpijscy (np. Kronos).
Hydra|Potwór (ohydny wąż o wielu głowach). Rola: Strzegła wejścia do podziemi.
Syreny|Istoty (pół-kobiety, pół-ptaki lub ryby) wabiące żeglarzy hipnotyzującym śpiewem.
Driada|Nimfa związana z drzewem (nimfa drzewna). Rola: Opiekunka lasów.
Eris|Bogini niezgody, waśni i niezgody. Atrybuty: złote jabłko niezgody.
Chronos|Uosobienie czasu (nie mylić z tytanem Kronosem). Atrybuty: Wąż, starzec. Pierwotne bóstwo.
Cerber|Potwór (wielogłowy pies strzegący wejścia do Hadesu).
Nyks|Bogini nocy (pierwotne bóstwo). Rodzice: Powstała z Chaosu.
Helios|Tytan (później bóg) Słońca. Atrybuty: Korona słoneczna, kwadryga (rydwan).
Cyklop|Istota (jednooki olbrzym).
Hades|Bóg świata umarłych, podziemi i bogactw ziemi. Atrybuty: Dwuząb, klucz, hełm niewidka. Rodzice: Kronos i Reja.
Zeus|Król bogów, bóg nieba, piorunów i pogody. Atrybuty: Piorun, orzeł, dąb. Rodzice: Kronos i Reja.
Demeter|Bogini zbóż, urodzaju, rolnictwa. Atrybuty: Kłosy, róg obfitości, pochodnia. Rodzice: Kronos i Reja.
Atena|Bogini mądrości, sztuki, sprawiedliwej wojny. Atrybuty: Sowa, włócznia, tarcza (egida), oliwka. Pochodzenie: Narodziła się z głowy Zeusa.
Hera|Królowa bogów, bogini małżeństwa, rodziny, macierzyństwa. Atrybuty: Paw, granat, berło. Rodzice: Kronos i Reja.
Hefajstos|Bóg ognia, kowali, rzemiosła, wulkanów. Atrybuty: Młot, kowadło, kleszcze. Rodzice: Zeus i Hera (lub sama Hera).
Centaur|Istota (pół-człowiek, pół-koń).
Minotaur|Potwór (pół-człowiek, pół-byk). Uwięziony w labiryncie.
Posejdon|Bóg mórz, trzęsień ziemi, koni. Atrybuty: Trójząb, delfin, koń. Rodzice: Kronos i Reja.
Kronos|Tytan - ojciec bogów olimpijskich, bóg czasu żniw. Atrybuty: Sierp, kosa. Rodzice: Uranos i Gaja.
Gaja|Bogini Ziemi (pierwotne bóstwo). Rodzice: Powstała z Chaosu.
Uranos|Bóg nieba (pierwotne bóstwo). Rodzice: Powstał z Gai lub Chaosu.
Geras|Bóg starości. Atrybuty: Postać starego, skurczonego mężczyzny.
Artemida|Bogini łowiectwa, dzikiej przyrody, księżyca. Atrybuty: Łuk, strzały, łania, półksiężyc. Rodzice: Zeus i Leta.
Muza|Grupa bóstw - boginie sztuki, nauki, literatury (9 sióstr).
Hermes|Bóg posłańców, handlu, złodziei, przewodnik dusz. Atrybuty: Kaduceusz, sandały ze skrzydłami. Rodzice: Zeus i Maja.
Dionizos|Bóg wina, płodności, szaleństwa religijnego, teatru. Atrybuty: Kielich, winorośl, tyrs. Rodzice: Zeus i Semele.
Apollo|Bóg słońca, muzyki, poezji, proroctw, lecznictwa. Atrybuty: Lira, łuk, wawrzyn. Rodzice: Zeus i Leta.
Ares|Bóg wojny (krwawej, brutalnej). Atrybuty: Hełm, tarcza, miecz, włócznia. Rodzice: Zeus i Hera.
Medusa|Potwór (jedna z Gorgon). Cechy: Zamieniająca w kamień wzrokiem.
Tyche|Bogini szczęścia, losu, przypadku. Atrybuty: Róg obfitości, ster, koło fortuny.
Pandora|Pierwsza kobieta stworzona przez bogów. Rola: Otworzyła puszkę, uwalniając nieszczęścia.
Afrodyta|Bogini miłości, piękna, pożądania. Atrybuty: Gołąb, róża, muszla. Pochodzenie: Narodziła się z morskiej piany (lub Rodzice: Zeus i Dione).
Hebe|Bogini wiecznej młodości, podczaszyna bogów. Atrybuty: Dzban, puchar. Rodzice: Zeus i Hera.