Brazylia||Brazil|
Kanada||Canada|
Chiny||China|
Egipt||Egypt|
Norwegia||Norway|
Afryka||Africa|
Antarktyda||Antarctica|
Azja||Asia|
Australia||Australia|
Europa||Europe|
Ameryka Północna||North America|
Ameryka Południowa||South America|
wiosna||spring|
lato||summer|
jesień||autumn|
zima||winter|
pochmurnie||cloudy|
zimno||cold|
mglisto||foggy|
mroźnie||freezing|
gorąco||hot|
śnieżnie||snowy|
słonecznie||sunny|
ciepło||warm|
mokro, deszczowo||wet|
wietrznie||windy|
O nie, znowu!||Oh no! Not again!|
Do zobaczenia!||See you later!|
Czas na...||It's time for ...|
O nie, znowu!||Oh no! Not again!|
Do zobaczenia!||See you later!|
Czy może mi Pan/Pani pomóc?||Can you help me, please?|
Czy może Pan/Pani powtórzyć?||Can you repeat that, please?|
Przepraszam||Excuse me, ...|
Myślę, że...||I think it's ...|
Przepraszam, nie wiem.||I'm sorry, I don't know.|
Co znaczy...?||What does ... mean?|
Jak po angielsku powiedzieć...?||What is ... in English?|
Trampki||trainers|
Spodnie||trousers|
T-shirt||T-shirt|
Sweter||sweater|
Czapka||hat|
mokro||wet|
mglisto||foggy